u_node_id,v_node_id
1,12
1,2
10,11
10,20
10,21
10,9
100,111
100,112
100,89
100,90
101,102
101,112
101,113
101,90
101,91
102,103
102,113
102,114
102,91
102,92
103,114
103,115
103,92
103,93
104,115
104,116
104,93
104,94
105,116
105,117
105,94
105,95
106,107
106,117
106,118
106,95
106,96
107,108
107,119
107,97
108,109
108,119
108,120
108,97
108,98
109,120
109,121
109,98
109,99
110,121
110,99
111,112
112,113
113,114
115,116
117,118
119,120
12,2
12,23
12,24
120,121
13,14
13,24
13,25
13,3
14,15
14,25
14,26
14,3
14,4
15,26
15,27
15,4
16,27
16,28
16,5
16,6
17,28
17,29
18,19
18,29
18,30
18,8
19,20
19,31
19,9
2,3
20,21
20,31
20,32
21,32
21,33
22,33
23,24
24,25
25,26
27,28
29,30
3,4
30,40
31,32
31,41
32,33
32,42
32,43
35,36
36,37
40,41
40,52
41,42
41,53
42,43
42,54
43,54
45,46
45,56
46,47
46,56
46,57
47,48
47,57
47,58
48,58
48,59
49,50
49,59
49,60
5,6
50,60
50,61
51,52
51,61
51,62
52,62
52,63
53,54
53,63
53,64
54,55
54,64
54,65
55,65
55,66
57,58
58,59
62,63
62,74
63,64
64,65
67,68
67,78
68,69
68,78
68,79
69,70
69,79
69,80
7,8
70,80
70,81
71,72
71,81
71,82
72,82
72,83
73,74
73,83
73,84
74,84
75,76
75,85
75,86
76,77
76,86
76,87
77,87
77,88
78,89
78,90
79,80
79,90
79,91
80,81
80,91
80,92
81,92
81,93
82,93
82,94
83,94
83,95
84,85
84,95
84,96
85,86
85,97
86,87
86,97
86,98
87,98
87,99
88,99
89,90
90,91
91,92
93,94
95,96
97,98
98,99
