u_node_id,v_node_id
1,11
1,2
10,19
10,20
10,9
100,90
100,99
11,2
11,21
11,22
12,13
12,22
12,23
12,3
13,14
13,23
13,24
13,3
13,4
14,24
14,25
14,4
15,25
15,26
15,5
15,6
16,26
16,27
17,18
17,27
17,28
17,8
18,19
18,29
18,9
19,20
19,29
19,30
2,3
20,30
21,22
22,23
23,24
25,26
27,28
28,37
29,30
29,38
3,4
30,39
30,40
32,33
33,34
37,38
37,48
38,39
38,49
39,40
39,50
40,50
41,42
41,51
42,43
42,51
42,52
43,44
43,52
43,53
44,53
44,54
45,46
45,54
45,55
46,55
46,56
47,48
47,56
47,57
48,57
48,58
49,50
49,58
49,59
5,6
50,59
50,60
52,53
53,54
57,58
57,68
58,59
59,60
61,62
61,71
62,63
62,71
62,72
63,64
63,72
63,73
64,73
64,74
65,66
65,74
65,75
66,75
66,76
67,68
67,76
67,77
68,77
69,70
69,78
69,79
7,8
70,79
70,80
71,81
71,82
72,73
72,82
72,83
73,74
73,83
73,84
74,84
74,85
75,85
75,86
76,86
76,87
77,78
77,87
77,88
78,79
78,89
79,80
79,89
79,90
80,90
81,82
81,91
82,83
82,91
82,92
83,84
83,92
83,93
84,93
84,94
85,86
85,94
85,95
86,95
86,96
87,88
87,96
87,97
88,97
89,90
89,98
89,99
90,99
92,93
93,94
97,98
98,99
