iteration,seed,fitness,total_existing,total_planted,exist_AG_LEC,exist_AG_SAL,exist_AG_SCB,exist_AG_STR,exist_OP_CAN,exist_OP_ENG,exist_OP_ROB,exist_OP_STR,exist_PR_LAE,exist_YU_FIL,new_AG_LEC,new_AG_SAL,new_AG_SCB,new_AG_STR,new_OP_CAN,new_OP_ENG,new_OP_ROB,new_OP_STR,new_PR_LAE,new_YU_FIL
1,618928,708.7064516129033,74,551,4,17,7,0,0,10,11,11,14,0,36,169,33,40,47,26,58,50,67,25
2,863698,691.2913978494624,71,554,3,22,4,3,5,6,9,6,11,2,37,164,36,37,42,30,60,55,70,23
3,275368,701.5344086021505,70,555,5,16,5,4,9,1,12,5,7,6,35,170,35,36,38,35,57,56,74,19
4,564598,691.8602150537635,70,555,3,25,6,3,4,1,10,7,9,2,37,161,34,37,43,35,59,54,72,23
5,647017,694.0258064516129,70,555,4,25,4,2,9,3,4,9,8,2,36,161,36,38,38,33,65,52,73,23
6,21020,693.6645161290321,73,552,8,18,5,8,3,3,7,8,7,6,32,168,35,32,44,33,62,53,74,19
7,677593,685.8333333333333,68,557,5,19,6,2,7,4,5,10,7,3,35,167,34,38,40,32,64,51,74,22
8,147677,684.6086021505375,63,562,6,15,5,3,6,6,7,7,6,2,34,171,35,37,41,30,62,54,75,23
9,664396,696.4935483870967,73,552,4,19,4,4,6,6,10,6,9,5,36,167,36,36,41,30,59,55,72,20
10,187444,697.0473118279571,71,554,4,23,7,4,3,4,7,5,13,1,36,163,33,36,44,32,62,56,68,24
11,834663,689.632258064516,70,555,3,20,8,8,4,3,8,7,7,2,37,166,32,32,43,33,61,54,74,23
12,127290,699.3645161290323,74,551,4,16,3,8,7,5,6,9,14,2,36,170,37,32,40,31,63,52,67,23
13,755130,699.078494623656,73,552,2,22,4,8,11,3,2,6,14,1,38,164,36,32,36,33,67,55,67,24
14,701993,697.5623655913978,75,550,4,26,5,3,4,4,5,6,16,2,36,160,35,37,43,32,64,55,65,23
15,518645,702.6096774193549,71,554,7,17,7,3,5,3,7,9,11,2,33,169,33,37,42,33,62,52,70,23
16,725804,688.3236559139784,71,554,4,25,8,3,6,1,7,4,12,1,36,161,32,37,41,35,62,57,69,24
17,603327,694.363440860215,72,553,4,21,5,5,5,3,9,8,11,1,36,165,35,35,42,33,60,53,70,24
18,505806,698.5602150537634,69,556,1,20,7,8,7,4,6,9,5,2,39,166,33,32,40,32,63,52,76,23
19,317524,684.7709677419355,73,552,6,18,7,4,7,6,6,8,10,1,34,168,33,36,40,30,63,53,71,24
20,792380,695.258064516129,74,551,6,23,2,5,5,4,11,12,5,1,34,163,38,35,42,32,58,49,76,24
21,877981,691.6301075268817,74,551,3,24,2,6,5,6,7,7,9,5,37,162,38,34,42,30,62,54,72,20
22,726481,694.7430107526881,71,554,5,16,5,7,7,3,11,7,8,2,35,170,35,33,40,33,58,54,73,23
23,351678,690.194623655914,68,557,2,23,3,3,4,4,10,8,10,1,38,163,37,37,43,32,59,53,71,24
24,710925,694.6021505376343,72,553,0,24,6,5,5,4,9,7,10,2,40,162,34,35,42,32,60,54,71,23
25,998028,693.9279569892473,69,556,3,26,6,3,1,2,9,6,11,2,37,160,34,37,46,34,60,55,70,23
26,821355,693.1763440860213,73,552,5,22,3,5,6,6,10,5,7,4,35,164,37,35,41,30,59,56,74,21
27,779944,697.3397849462365,75,550,5,24,2,6,4,3,11,6,10,4,35,162,38,34,43,33,58,55,71,21
28,19036,690.1387096774192,70,555,4,23,7,3,5,7,5,5,5,6,36,163,33,37,42,29,64,56,76,19
29,698738,691.3279569892474,73,552,5,17,7,6,7,6,5,7,11,2,35,169,33,34,40,30,64,54,70,23
30,273466,699.82688172043,71,554,5,24,6,5,4,7,3,4,10,3,35,162,34,35,43,29,66,57,71,22
31,33796,705.0698924731183,66,559,2,19,2,7,4,7,2,9,11,3,38,167,38,33,43,29,67,52,70,22
32,256961,700.8430107526881,71,554,5,20,5,5,9,7,6,1,11,2,35,166,35,35,38,29,63,60,70,23
33,648576,696.131182795699,73,552,1,24,7,3,4,7,7,5,12,3,39,162,33,37,43,29,62,56,69,22
34,827283,687.4709677419355,73,552,9,20,2,5,6,6,13,9,1,2,31,166,38,35,41,30,56,52,80,23
