species_id,f_target,v_tol,final_count,expected_count,expected_percent,v_tol_percent,lower_percent,upper_percent,final_percent,diff_count,diff_percent,in_band
AG_LEC,0.0638,0.0109,34,39.8936,6.383,1.0925,5.2905,7.4755,5.44,-5.8936,-0.943,True
AG_SAL,0.2979,0.0151,195,186.1702,29.7872,1.5084,28.2788,31.2957,31.2,8.8298,1.4128,True
AG_SCB,0.0638,0.0106,46,39.8936,6.383,1.0561,5.3269,7.4391,7.36,6.1064,0.977,True
AG_STR,0.0638,0.0109,34,39.8936,6.383,1.0911,5.2919,7.4741,5.44,-5.8936,-0.943,True
OP_CAN,0.0745,0.0107,49,46.5426,7.4468,1.0708,6.376,8.5176,7.84,2.4574,0.3932,True
OP_ENG,0.0578,0.0098,30,36.0942,5.7751,0.9849,4.7902,6.76,4.8,-6.0942,-0.9751,True
OP_ROB,0.1109,0.0111,63,69.3389,11.0942,1.1093,9.9849,12.2035,10.08,-6.3389,-1.0142,True
OP_STR,0.0973,0.0145,52,60.7903,9.7264,1.4468,8.2796,11.1733,8.32,-8.7903,-1.4064,True
PR_LAE,0.1307,0.0182,93,81.6869,13.0699,1.8182,11.2517,14.8881,14.88,11.3131,1.8101,True
YU_FIL,0.0395,0.0076,29,24.696,3.9514,0.7619,3.1895,4.7132,4.64,4.304,0.6886,True
