u_node_id,v_node_id
1,10
1,2
10,19
10,2
10,20
11,12
11,20
11,21
11,3
12,13
12,21
12,22
12,3
12,4
13,22
13,23
13,4
14,23
14,24
14,5
14,6
15,24
15,25
16,17
16,25
16,26
16,8
17,18
17,27
17,9
18,27
19,20
2,3
20,21
21,22
23,24
25,26
26,34
27,35
29,30
3,4
30,31
34,35
34,44
35,36
35,45
37,38
37,46
38,39
38,46
38,47
39,40
39,47
39,48
40,48
40,49
41,42
41,49
41,50
42,50
42,51
43,44
43,51
43,52
44,52
44,53
45,53
45,54
47,48
48,49
5,6
52,53
52,62
53,54
55,56
55,64
56,57
56,64
56,65
57,58
57,65
57,66
58,66
58,67
59,60
59,67
59,68
60,68
60,69
61,62
61,69
61,70
62,70
63,71
63,72
64,73
64,74
65,66
65,74
65,75
66,67
66,75
66,76
67,76
67,77
68,77
68,78
69,78
69,79
7,8
70,71
70,79
70,80
71,72
71,81
72,81
73,74
74,75
75,76
77,78
79,80
